Mint Finance Panel,Last Updated,Lender,Product Type,Location, Min Loan , Max Loan ,Min Term,Max Term,Monthly Interest From,Monthly Interest To,Min Trading Months,Min Monthly Turnover,Existing Lending Required,PG Required,Homeowner Required,Other Security,Additional Criteria,Product USP,Submission
TRUE,,365 Finance,Merchant Cash Advance,"Eng, Scot, Wales, NI",10000,500000,,,,,6,10000,No,Yes,No,N/A,Must process payments through a card machine and/or online payment system,"Flexible as repayments based on a Sweep % of monthly card / online sales, Factor Rates from 1.2",https://365businessfinance.my.site.com/partner/login
TRUE,,Aldermore,Asset Finance,,,,,,,,,,,,,,,,
TRUE,,Aldermore,Invoice Finance,,,,,,,,,,,,,,,,
TRUE,,Asset Advantage,Asset Finance,,,,,,,,,,,,,,,,
TRUE,,Asset Advantage,CapEx Term Loan,,75000,500000,36,60,,,0,,,,,,,,
TRUE,,Bibby,Invoice Finance,"Eng, Scot, Wales, NI",100000,1000000,6,12,,,0,,No,Yes,No,Debenture,,"Competitive Pricing, 90% Prepayment available, Export funding, Flexible funding, confidential, Bad debt protection available, Quick turnaround time, Assigned relationship team",christopher.stanton@bibbyfinancialservices.com
TRUE,,Bibby,Invoice Finance,"Eng, Scot, Wales, NI",50000,20000000,6,12,,,0,,No,Yes,Yes,Debenture,"Construction IF only, Directors required to complete a A&L Statement, contracts with top customers need to be reviewed ","Fund stage payements, Fund application for payments, Fund Certified and Uncertified payments. One of two lenders who offer this finance. Assigned relationship team",christopher.stanton@bibbyfinancialservices.com
TRUE,,Bibby,Invoice Finance,"Eng, Scot, Wales, NI",50000,100000,,,,,0,10000,No,Yes,No,Debenture,"Forward Finance product, Minimum yearly turnover at least 120,000. May be required to provide cashflow forecasts.","Rolling Contract, No set up fee, One set fee, no contract length, 28 days notice ",christopher.stanton@bibbyfinancialservices.com
TRUE,,Bibby,Invoice Finance,"Eng, Scot, Wales, NI",1000000,20000000,6,24,,,0,,No,Yes,No,Debenture,Directors may be required to complete an A&L Statement,"Competitive Pricing, 90% Prepayment available, Export funding, Flexible funding, confidential, Bad debt protection available, Quick turnaround time, Assigned relationship team",christopher.stanton@bibbyfinancialservices.com
TRUE,Apr-26,Bizcap,Unsecured Loan,"Eng, Scot, Wales, NI",5000,500000,3,12,0.013,,4,12000,No,Yes,No,N/A,"Construction and transportation businesses require minimum 1 year trading and Â£30000 monthly revenue for , Businesses with defaults and judgements are accepted","Daily or weekly repayments, Early payment discounts available, Options on Factor Rates / Commission",https://applications.bizcap.co.uk/?partnerid=e13077f1-8e0c-4c36-85ce-197da59be64f
TRUE,,Capify,Unsecured Loan,"Eng, Scot, Wales",10000,250000,7,18,,,6,10000,No,Yes,No,N/A,Need at least Â£500 headroom for end of day balances,"Happy to lend with existing Debenture, Factor Rates from 1.2, Same day funding possible, Daily or Weekly Repayments",proposals@capify.co.uk
TRUE,,Capify,Asset Finance,"Eng, Scot, Wales",50000,1000000,6,24,,,6,10000,No,Yes,Yes,N/A,Need at least Â£500 headroom for end of day balances,"Happy to lend with existing Debenture, Factor Rates from 1.12, Funding within 48 hours, Daily or Weekly Repayments",proposals@capify.co.uk
TRUE,,Capify,Unsecured Loan,"Eng, Scot, Wales",5000,250000,3,6,,,3,10000,No,Yes,No,N/A,Need at least Â£500 headroom for end of day balances,"Can look at poor credit previous insolvencies CCJ's & Defaults, Factor Rates from 1.35, Same Day Funding, Daily or Weekly Repayments",proposals@capify.co.uk
TRUE,,CubeFunder,Unsecured Loan,"Eng, Wales",5000,100000,3,12,,,3,4000,No,Yes,No,"Assets needed for security, Cross corporate guarantee",Won't deal with business's with more than 3 directors,"Monthly interest rate and only pay on outstanding loan amount, No ERC, Monthly repayments",https://www.cubefunder.com/brokers/
TRUE,,CubeFunder,Unsecured Loan,"Eng, Wales",10000,100000,12,24,,,3,10000,No,Yes,No,"Assets needed for security, Cross corporate guarantee",Won't deal with business's with more than 3 directors,"Monthly interest rate and only pay on outstanding loan amount, No ERC, Monthly repayments",https://www.cubefunder.com/brokers/
TRUE,,Elect Capital,Unsecured Loan,"Eng, Scot, Wales, NI",5000,75000,0,6,,,12,25000,Yes,Yes,No,N/A,"Need a breakdown of existing lending, Good personal credit, Good strong end of day balances over Â£600","Daily weekly or revenue linked payments, Rates from 1.29%- 1.5%",daniel@electcapital.com
TRUE,,Elect Capital,Unsecured Loan,"Eng, Scot, Wales, NI",75001,750000,0,6,,,12,25000,Yes,Yes,No,Yes on loans > £75k,"Need a breakdown of existing lending, Good personal credit, Good strong end of day balances over Â£600","Daily weekly or revenue linked payments, Rates from 1.29%- 1.5%",daniel@electcapital.com
TRUE,Apr-26,Fleximize,Unsecured Loan,"Eng, Scot, Wales, NI",10000,250000,12,60,0.009,0.029,12,0,No,Yes,Yes,N/A,Loan amt must not exceed 2 x monthly revenue,"No Early Repayment Charges, Only pay interest on time loan is active so can save on total repayment by repaying early, Monthly Rates between 1.9% - 3.9%, Monthly Repayment",https://partners.fleximize.com/login
TRUE,Apr-26,Fleximize,Unsecured Loan,"Eng, Scot, Wales, NI",10000,500000,3,12,0.019,0.039,6,0,No,Yes,Yes,N/A,Loan amt must not exceed 2 x monthly revenue,"No Early Repayment Charges, Only pay interest on time loan is active so can save on total repayment by repaying early, Monthly Rates between 0.9% - 2.9%, Monthly Repayment",https://partners.fleximize.com/login
FALSE,,Funding Alternative,Unsecured Loan,"Eng, Scot, Wales, NI",10000,250000,0,9,,,6,12500,No,Yes - All Directors,No,N/A,,"Rates from 1.2-1.6, Daily weekly repayments or variable payments based on cash receipts",applications@fundingalternative.co.uk
